year,province,district,events,affected_people,affected_households,housing_units,agriculture_rai,deaths
2020,กระบี่,คลองท่อม,1,0,612,0,0.0,0
2020,กระบี่,ปลายพระยา,1,100,30,0,140.0,0
2020,กระบี่,ลำทับ,1,0,0,0,0.0,0
2020,กระบี่,อ่าวลึก,1,1725,415,20,0.0,0
2020,กระบี่,เกาะลันตา,1,160,40,2,0.0,0
2020,กระบี่,เขาพนม,1,2155,230,0,0.0,0
2020,กระบี่,เมืองกระบี่,2,1515,503,3,0.0,0
2020,กรุงเทพมหานคร,คลองสามวา,1,24,24,0,287.0,0
2020,กรุงเทพมหานคร,ตลิ่งชัน,1,60,60,0,180.0,0
2020,กรุงเทพมหานคร,ทวีวัฒนา,1,3,3,0,8.0,0
2020,กรุงเทพมหานคร,บางบอน,1,1,1,0,2.0,0
2020,กรุงเทพมหานคร,มีนบุรี,1,15,15,0,26.0,0
2020,กรุงเทพมหานคร,สายไหม,1,8,8,0,1.0,0
2020,กรุงเทพมหานคร,หนองแขม,1,4,4,0,60.0,0
2020,กาญจนบุรี,ด่านมะขามเตี้ย,5,709,287,9,2790.0,0
2020,กาญจนบุรี,ท่ามะกา,7,1345,512,15,2632.0,0
2020,กาญจนบุรี,ท่าม่วง,19,1234,459,171,1786.0,0
2020,กาญจนบุรี,บ่อพลอย,5,6633,2103,0,12101.0,0
2020,กาญจนบุรี,พนมทวน,1,0,0,0,0.0,0
2020,กาญจนบุรี,ศรีสวัสดิ์,2,3100,670,0,200.0,0
2020,กาญจนบุรี,สังขละบุรี,1,6,6,0,0.0,1
2020,กาญจนบุรี,ห้วยกระเจา,1,0,692,692,650.0,0
2020,กาญจนบุรี,เมืองกาญจนบุรี,8,159,105,4,230.0,0
2020,กาญจนบุรี,เลาขวัญ,9,35721,17057,20,25509.0,0
2020,กาญจนบุรี,ไทรโยค,5,804,282,0,88.0,0
2020,กาฬสินธุ์,กมลาไสย,2,664,160,0,1290.0,0
2020,กาฬสินธุ์,ดอนจาน,1,5000,1300,0,0.0,0
2020,กาฬสินธุ์,นาคู,2,810,270,0,1962.0,0
2020,กาฬสินธุ์,เขาวง,2,590,180,0,250.0,0
2020,กำแพงเพชร,ขาณุวรลักษบุรี,1,535,228,0,2864.0,0
2020,กำแพงเพชร,คลองขลุง,2,134,32,0,70.0,0
2020,กำแพงเพชร,คลองลาน,3,80,15,0,28.0,0
2020,กำแพงเพชร,เมืองกำแพงเพชร,9,7078,2866,541,14885.0,0
2020,กำแพงเพชร,โกสัมพีนคร,3,531,164,0,164.0,0
2020,ขอนแก่น,ชนบท,1,118,40,1,225.0,0
2020,ขอนแก่น,ชุมแพ,1,902,0,0,2993.0,0
2020,ขอนแก่น,บ้านแฮด,1,1133,3997,0,0.0,0
2020,ขอนแก่น,บ้านไผ่,2,952,263,263,0.0,0
2020,ขอนแก่น,ภูผาม่าน,1,180,67,67,1780.0,0
2020,ขอนแก่น,มัญจาคีรี,1,291,98,0,670.0,0
2020,ขอนแก่น,แวงน้อย,1,1151,292,0,2656.0,0
2020,ขอนแก่น,แวงใหญ่,1,0,551,0,5519.0,0
2020,ขอนแก่น,โคกโพธิ์ไชย,1,426,0,0,3486.0,0
2020,ขอนแก่น,โนนศิลา,1,22597,6998,2,0.0,0
2020,จันทบุรี,ขลุง,2,245,87,0,90.0,0
2020,จันทบุรี,ท่าใหม่,4,5,12,1,0.0,0
2020,จันทบุรี,นายายอาม,2,46,10,0,0.0,0
2020,จันทบุรี,มะขาม,1,3000,800,1131,0.0,0
2020,จันทบุรี,สอยดาว,1,380,411,224,200.0,0
2020,จันทบุรี,เขาคิชฌกูฏ,2,0,12,0,70.0,0
2020,จันทบุรี,เมืองจันทบุรี,2,116,30,4,0.0,0
2020,จันทบุรี,แหลมสิงห์,1,4,1,1,0.0,0
2020,จันทบุรี,โป่งน้ำร้อน,3,3238,859,75,851.0,1
2020,ฉะเชิงเทรา,บางคล้า,1,275,61,0,0.0,0
2020,ฉะเชิงเทรา,บ้านโพธิ์,4,348,148,121,191.0,0
2020,ฉะเชิงเทรา,พนมสารคาม,12,1583,951,120,3860.0,0
2020,ฉะเชิงเทรา,ราชสาส์น,2,51,51,0,980.0,0
2020,ฉะเชิงเทรา,สนามชัยเขต,1,10,6,0,14.0,0
2020,ฉะเชิงเทรา,เมืองฉะเชิงเทรา,5,0,609,0,0.0,0
2020,ฉะเชิงเทรา,แปลงยาว,1,400,210,0,0.0,0
2020,ชลบุรี,บางละมุง,2,0,0,2,0.0,0
2020,ชลบุรี,บ้านบึง,2,160,60,0,210.0,0
2020,ชลบุรี,พนัสนิคม,27,4636,1811,942,2518.0,0
2020,ชลบุรี,ศรีราชา,4,140,86,66,0.0,0
2020,ชลบุรี,เกาะจันทร์,3,0,22,21,6.0,0
2020,ชลบุรี,เมืองชลบุรี,1,18,5,5,0.0,0
2020,ชัยนาท,วัดสิงห์,3,3300,1282,847,2770.0,0
2020,ชัยนาท,สรรคบุรี,1,52,52,0,1033.0,0
2020,ชัยนาท,หนองมะโมง,2,3,29,1,453.0,0
2020,ชัยนาท,หันคา,3,7322,1900,51,41633.0,0
2020,ชัยนาท,เนินขาม,4,13891,5019,1167,13864.0,0
2020,ชัยนาท,เมืองชัยนาท,1,11,11,11,0.0,0
2020,ชัยภูมิ,คอนสาร,3,650,568,357,7184.0,0
2020,ชัยภูมิ,จัตุรัส,3,0,0,9,107519.0,0
2020,ชัยภูมิ,ซับใหญ่,1,0,3877,0,35749.0,0
2020,ชัยภูมิ,บำเหน็จณรงค์,1,0,0,0,0.0,0
2020,ชัยภูมิ,บ้านเขว้า,1,0,6654,5,74305.0,0
2020,ชัยภูมิ,ภูเขียว,3,760,830,0,3928.0,0
2020,ชัยภูมิ,หนองบัวระเหว,2,3904,3904,0,37331.0,0
2020,ชัยภูมิ,หนองบัวแดง,1,0,27,0,68.0,0
2020,ชัยภูมิ,เทพสถิต,1,0,431,4,1647.0,0
2020,ชัยภูมิ,เนินสง่า,1,0,59,0,358.0,0
2020,ชัยภูมิ,เมืองชัยภูมิ,4,51226,14091,0,42204.0,0
2020,ชุมพร,ทุ่งตะโก,3,1021,331,0,0.0,0
2020,ชุมพร,ท่าแซะ,3,4387,1610,5,200.0,0
2020,ชุมพร,ปะทิว,3,1280,429,0,215.0,0
2020,ชุมพร,พะโต๊ะ,5,1202,522,6,45.0,0
2020,ชุมพร,ละแม,1,997,290,2,0.0,0
2020,ชุมพร,สวี,6,4266,1342,160,0.0,0
2020,ชุมพร,หลังสวน,5,5963,1960,59,100.0,0
2020,ชุมพร,เมืองชุมพร,5,3113,807,0,0.0,0
2020,ตรัง,กันตัง,8,797,255,233,0.0,0
2020,ตรัง,นาโยง,3,1308,558,0,0.0,0
2020,ตรัง,ปะเหลียน,3,1704,596,14,0.0,0
2020,ตรัง,ย่านตาขาว,3,1103,333,0,0.0,0
2020,ตรัง,รัษฎา,4,6817,2149,0,0.0,0
2020,ตรัง,วังวิเศษ,2,1704,463,0,0.0,0
2020,ตรัง,สิเกา,1,0,50,0,0.0,0
2020,ตรัง,หาดสำราญ,1,0,0,0,0.0,0
2020,ตรัง,ห้วยยอด,13,8730,2404,100,2181.0,0
2020,ตรัง,เมืองตรัง,25,5531,1741,549,2797.0,2
2020,ตราด,บ่อไร่,2,0,0,0,0.0,0
2020,ตราด,เกาะช้าง,1,0,0,0,0.0,0
