GEOCODE,TAMBON_E,AMPHOE_E,PROV_E,REGION_E,N_YEARS_FLOODED,P_HIST,FC_PROP,P_EVENT,AFF_HH_MEAN,SEV_IDX,HAZARD_SCORE,HAZARD_GRADE,LAT,LONG
960501,Tanyong Mat,Ra-ngae District,Narathiwat,southeast,5,0.977736549,0.188888889,0.940214985,2798.5,0.994552609,93.76541255,5,6.311,101.724
960102,Lamphu,Mueang Narathiwat District,Narathiwat,southeast,5,0.977736549,0.155555556,0.932364832,2599,0.958447315,91.29937007,5,6.379,101.819
960703,Si Sakhon,Si Sakhon District,Narathiwat,southeast,5,0.977736549,0.055555556,0.902764326,2759,0.987508757,89.71260021,5,6.152,101.492
960508,Ba-Ngo Sato,Ra-ngae District,Narathiwat,southeast,5,0.977736549,0.161111111,0.933736538,2193,0.880408894,87.79032449,5,6.277,101.691
960502,Tanyong Limo,Ra-ngae District,Narathiwat,southeast,5,0.977736549,0.188888889,0.940214985,2030,0.847057953,86.83157826,5,6.283,101.775
640702,Nai Mueang,Sawankhalok District,Sukhothai,North,5,0.93592786,0.205555556,0.868230167,5275.5,1,86.82301667,5,17.326,99.878
960507,Kalisa,Ra-ngae District,Narathiwat,southeast,5,0.977736549,0.077777778,0.910206765,2319,0.90534786,86.71302559,5,6.225,101.661
960103,Manang Tayo,Mueang Narathiwat District,Narathiwat,southeast,5,0.977736549,0.155555556,0.932364832,2070.5,0.855465939,86.49855943,5,6.354,101.76
930607,Don Sai,Pak Phayun District,Phatthalung,southeast,5,0.942229199,0.116666667,0.857821517,13231,1,85.78215173,5,7.244,100.321
960506,Bo-Ngo,Ra-ngae District,Narathiwat,southeast,4,0.834879406,0.075,0.887944015,2442.5,0.929142641,85.64853306,5,6.172,101.753
960509,Chaloem,Ra-ngae District,Narathiwat,southeast,5,0.977736549,0.080555556,0.911100114,2174,0.876586696,85.48791768,5,6.291,101.641
960304,Paluka Samo,Bacho District,Narathiwat,southeast,5,0.977736549,0.111111111,0.920409179,2080.5,0.857529295,85.48435064,5,6.608,101.609
960104,Bang Po,Mueang Narathiwat District,Narathiwat,southeast,5,0.977736549,0.155555556,0.932364832,1936.5,0.827320634,85.18647477,5,6.33,101.804
860711,Khao Khai,Sawi District,Chumphon,southeast,5,0.916067836,0.122222222,0.847908304,3771.5,1,84.7908304,5,10.104,98.891
961303,Marue Bo Ok,Cho-airong District,Narathiwat,southeast,5,0.977736549,0.188888889,0.940214985,1824.5,0.803039743,84.76224922,5,6.249,101.875
802004,Chang Sai,Phra Phrom District,Nakhon Si Thammarat,southeast,5,0.914503079,0.183333333,0.840846186,10042,1,84.08461857,5,8.311,99.966
961201,Chanae,Chanae District,Narathiwat,southeast,4,0.834879406,0.077777778,0.889031852,2172.5,0.876284234,83.40382239,5,6.077,101.693
901112,Thung Tam Sao,Hat Yai District,Songkhla,southeast,4,0.775778028,0.266666667,0.833340204,76108,1,83.33402035,5,6.9,100.244
930201,Kong Ra,Kong Ra District,Phatthalung,southeast,5,0.942229199,0.066666667,0.831973202,9744,1,83.19732021,5,7.463,99.877
961102,Su-Ngai Padi,Su-ngai Padi District,Narathiwat,southeast,5,0.977736549,0.144444444,0.929542115,1761,0.788941467,83.14482177,5,6.161,101.931
640105,Yang Sai,Mueang Sukhothai District,Sukhothai,North,5,0.93592786,0.411111111,0.93690286,1681,0.770812878,82.95398249,5,16.974,99.821
961002,Pa Semat,Su-ngai Kolok District,Narathiwat,southeast,5,0.977736549,0.1,0.917131847,1841.5,0.806772278,82.85241985,5,6.054,101.975
950116,Sateng Nok,Mueang Yala District,Yala,southeast,5,0.935960591,0.094444444,0.826769659,8328.5,1,82.67696589,5,6.552,101.324
960601,Rueso,Rueso District,Narathiwat,southeast,5,0.977736549,0.116666667,0.922003073,1754.5,0.787484096,82.40329144,5,6.369,101.508
960106,Kaluwo Nuea,Mueang Narathiwat District,Narathiwat,southeast,5,0.977736549,0.155555556,0.932364832,1661.5,0.76632903,82.34315347,5,6.404,101.862
930305,Chong Thanon,Khao Chaison District,Phatthalung,southeast,5,0.942229199,0.05,0.822561335,16396,1,82.25613346,5,7.489,100.194
930504,Na Khayat,Khuan Khanun District,Phatthalung,southeast,5,0.942229199,0.041666667,0.817702513,19886,1,81.77025128,5,7.687,99.948
960803,Kho Lo,Waeng District,Narathiwat,southeast,5,0.977736549,0.127777778,0.925103486,1643.5,0.762166681,81.509327,5,5.906,101.912
931101,Chumphon,Srinagarindra District,Phatthalung,southeast,5,0.942229199,0.036111111,0.814406243,3101.5,1,81.44062429,5,7.608,99.948
801206,Ko Thuat,Pak Phanang District,Nakhon Si Thammarat,southeast,4,0.771645936,0.177777778,0.803340646,7956,1,80.33406461,5,8.283,100.092
961302,Bu Kit,Cho-airong District,Narathiwat,southeast,4,0.834879406,0.188888889,0.925537653,1526,0.73441641,80.26338466,5,6.182,101.828
860201,Tha Sae,Tha Sae District,Chumphon,southeast,4,0.773210693,0.088888889,0.794335416,3634,1,79.43354162,5,10.663,99.166
960107,Khok Khian,Mueang Narathiwat District,Narathiwat,southeast,5,0.977736549,0.155555556,0.932364832,1374.5,0.697007542,79.11150757,5,6.482,101.763
640106,Ban Kluai,Mueang Sukhothai District,Sukhothai,North,5,0.93592786,0.422222222,0.939449896,1312,0.68097634,78.95965236,5,17.029,99.776
930801,Pa Bon,Pa Bon District,Phatthalung,southeast,4,0.799372057,0.055555556,0.789262442,15472,1,78.9262442,5,7.337,100.171
930901,Tha Maduea,Bang Kaeo District,Phatthalung,southeast,4,0.799372057,0.055555556,0.789262442,9694,1,78.9262442,5,7.451,100.157
960510,Marue Bo Tok,Ra-ngae District,Narathiwat,southeast,5,0.977736549,0.080555556,0.911100114,1516.5,0.732126813,78.90704688,5,6.337,101.66
800114,Mamuang Song Ton,Mueang Nakhon Si Thammarat District,Nakhon Si Thammarat,southeast,4,0.771645936,0.15,0.785415274,20946,1,78.5415274,5,8.397,99.952
800503,Khao Phra,Phipun District,Nakhon Si Thammarat,southeast,5,0.914503079,0.088888889,0.784354456,3256,1,78.43544557,5,8.634,99.615
960801,Waeng,Waeng District,Narathiwat,southeast,5,0.977736549,0.077777778,0.910206765,1456.5,0.71749743,78.16388896,5,5.936,101.835
960402,Lahan,Yi-ngo District,Narathiwat,southeast,5,0.977736549,0.188888889,0.940214985,1222,0.657204772,77.90643799,5,6.396,101.745
960401,Yi Ngo,Yi-ngo District,Narathiwat,southeast,5,0.977736549,0.155555556,0.932364832,1257.5,0.666682572,77.69781079,5,6.382,101.703
960403,Cho Bo,Yi-ngo District,Narathiwat,southeast,5,0.977736549,0.161111111,0.933736538,1227.5,0.658682091,77.43860365,5,6.382,101.66
