GEOCODE,TAMBON_E,AMPHOE_E,PROV_E,REGION_E,N_YEARS_FLOODED,P_HIST,FC_PROP,P_EVENT,AFF_HH_MEAN,SEV_IDX,HAZARD_SCORE,HAZARD_GRADE,LAT,LONG
100101,Phraborom Maharatchawang,Phra Nakhon District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.751,100.492
100102,Wang Burapha Phirom,Phra Nakhon District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.744,100.499
100103,Wat Ratchabophit,Phra Nakhon District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.75,100.499
100104,Samran Rat,Phra Nakhon District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.751,100.503
100105,San Chaopho Suea,Phra Nakhon District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.754,100.497
100106,Sao Chingcha,Phra Nakhon District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.753,100.5
100107,Bowon Niwet,Phra Nakhon District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.757,100.501
100108,Talat Yot,Phra Nakhon District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.76,100.498
100109,Chana Songkhram,Phra Nakhon District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.762,100.495
100110,Ban Phan Thom,Phra Nakhon District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.762,100.503
100111,Bang Khun Phrom,Phra Nakhon District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.765,100.505
100112,Wat Sam Phraya,Phra Nakhon District,Bangkok,Central,1.0,0.18107142857142858,0.0,0.04560725696606179,54.0,0.1381535296709038,2.5954030247265574,1,13.768,100.499
100201,Dusit,Dusit District,Bangkok,Central,0.0,0.03821428571428571,0.03888888888888889,0.042186059274751955,0.0,0.0,2.1093029637375977,1,13.772,100.513
100202,Wachira Phayaban,Dusit District,Bangkok,Central,1.0,0.18107142857142858,0.03888888888888889,0.052785379947366255,54.0,0.1381535296709038,3.0038933251057323,1,13.778,100.505
100203,Suan Chitlada,Dusit District,Bangkok,Central,0.0,0.03821428571428571,0.0,0.03639392525469537,0.0,0.0,1.8196962627347686,1,13.767,100.52
