year,province,events,districts_affected,subdistricts_affected,villages_affected,affected_people,affected_households,evacuated_people,evacuated_households,deaths,missing,injured,housing_units,business_sites,agriculture_rai,livestock_head,fisheries_units,transport_sites,infrastructure_sites,total_damage_thb,province_code,region_en
2019,กระบี่,,5.0,22.0,115.0,4363.0,886.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,179.0,0.0,8.0,35.0,5.0,523200.0,81,South
2019,กาญจนบุรี,,11.0,27.0,111.0,12582.0,4796.0,4.0,2.0,0.0,0.0,0.0,111.0,0.0,2832.0,0.0,6.0,61.0,7.0,4412868.0,71,Central
2019,กาฬสินธุ์,,18.0,130.0,1174.0,210787.0,67564.0,68.0,0.0,0.0,0.0,0.0,3018.0,0.0,330220.0,7181.0,8945.0,1078.0,61.0,7059000.0,46,Northeast
2019,กำแพงเพชร,,2.0,7.0,18.0,150.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,15000000.0,62,North
2019,ขอนแก่น,,8.0,48.0,403.0,112203.0,31894.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,6828.0,0.0,13.0,28.0,0.0,7987422.0,40,Northeast
2019,จันทบุรี,,6.0,16.0,79.0,150.0,1075.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,2040.0,0.0,579.0,3.0,5.0,0.0,22,East
2019,ชลบุรี,,2.0,3.0,9.0,123.0,51.0,0.0,0.0,1.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,430000.0,20,East
2019,ชัยภูมิ,,2.0,2.0,16.0,366.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,2.0,30000.0,36,Northeast
2019,ชุมพร,,7.0,51.0,448.0,32172.0,12193.0,1037.0,414.0,0.0,0.0,0.0,1104.0,2.0,3305.0,302.0,291.0,474.0,117.0,16590000.0,86,South
2019,ตรัง,,5.0,21.0,80.0,9073.0,2759.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,11420.0,0.0,27.0,1.0,2.0,250000.0,92,South
2019,ตราด,,7.0,16.0,72.0,10175.0,2931.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,183.0,0.0,25.0,49.0,2.0,8500.0,23,East
2019,ตาก,,8.0,44.0,371.0,134560.0,39118.0,116.0,25.0,1.0,1.0,1.0,2.0,0.0,7523.0,0.0,0.0,313.0,16.0,53918340.0,63,North
2019,นครพนม,,12.0,56.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22192.0,24.0,25.0,122.0,2.0,0.0,48,Northeast
2019,นครราชสีมา,,5.0,9.0,38.0,7613.0,1252.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,43.0,0.0,0.0,25.0,3.0,0.0,30,Northeast
2019,นครศรีธรรมราช,,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,South
2019,นราธิวาส,,13.0,71.0,480.0,142079.0,40323.0,301.0,120.0,1.0,0.0,2.0,39.0,0.0,6522.0,141.0,2.0,38.0,27.0,60000.0,96,South
2019,น่าน,,7.0,21.0,94.0,8017.0,2876.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,1583.0,0.0,19.0,106.0,16.0,0.0,55,North
2019,บุรีรัมย์,,2.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,Northeast
2019,ประจวบคีรีขันธ์,,2.0,7.0,41.0,3450.0,725.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0,77,South
2019,ปราจีนบุรี,,3.0,12.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,East
2019,ปัตตานี,,8.0,48.0,224.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,94,South
2019,พะเยา,,7.0,43.0,311.0,1308.0,2097.0,0.0,18.0,0.0,0.0,0.0,2.0,0.0,843.0,0.0,1.0,24.0,6.0,0.0,56,North
2019,พังงา,,6.0,24.0,83.0,4653.0,1262.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,10.0,0.0,42.0,50.0,7.0,0.0,82,South
2019,พัทลุง,,2.0,7.0,13.0,80.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,93,South
2019,พิจิตร,,12.0,60.0,371.0,6979.0,10386.0,0.0,0.0,0.0,0.0,0.0,11181.0,0.0,164478.0,2420.0,203.0,113.0,19.0,0.0,66,North
2019,พิษณุโลก,,8.0,53.0,372.0,42400.0,38126.0,96.0,1692.0,3.0,0.0,0.0,0.0,0.0,151352.0,2429.0,1135.0,193.0,29.0,3330000.0,65,North
2019,มหาสารคาม,,8.0,57.0,750.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,Northeast
2019,มุกดาหาร,,7.0,53.0,558.0,96111.0,24042.0,0.0,0.0,1.0,0.0,0.0,43.0,0.0,37418.0,0.0,969.0,112.0,9.0,0.0,49,Northeast
2019,ยะลา,,1.0,1.0,1.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,South
2019,ยโสธร,,9.0,76.0,862.0,99191.0,102496.0,6380.0,2277.0,18.0,1.0,0.0,6111.0,0.0,1075552.0,1065.0,170.0,91.0,78.0,0.0,35,Northeast
2019,ระนอง,,1.0,7.0,36.0,224.0,70.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,85,South
2019,ระยอง,,3.0,3.0,10.0,140.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,1.0,0.0,21,East
2019,ราชบุรี,,3.0,25.0,156.0,713.0,267.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,14498.0,0.0,0.0,30.0,2.0,0.0,70,Central
2019,ร้อยเอ็ด,,10.0,103.0,1148.0,0.0,47822.0,0.0,0.0,0.0,0.0,0.0,730.0,0.0,297179.0,356.0,126.0,398.0,19.0,0.0,45,Northeast
