province_code,province,region_th,region_en
10,กรุงเทพมหานคร,กลาง,Central
11,สมุทรปราการ,กลาง,Central
12,นนทบุรี,กลาง,Central
13,ปทุมธานี,กลาง,Central
14,พระนครศรีอยุธยา,กลาง,Central
15,อ่างทอง,กลาง,Central
16,ลพบุรี,กลาง,Central
17,สิงห์บุรี,กลาง,Central
18,ชัยนาท,กลาง,Central
19,สระบุรี,กลาง,Central
20,ชลบุรี,ตะวันออก,East
21,ระยอง,ตะวันออก,East
22,จันทบุรี,ตะวันออก,East
23,ตราด,ตะวันออก,East
24,ฉะเชิงเทรา,ตะวันออก,East
25,ปราจีนบุรี,ตะวันออก,East
26,นครนายก,ตะวันออก,East
27,สระแก้ว,ตะวันออก,East
30,นครราชสีมา,ตะวันออกเฉียงเหนือ,Northeast
31,บุรีรัมย์,ตะวันออกเฉียงเหนือ,Northeast
32,สุรินทร์,ตะวันออกเฉียงเหนือ,Northeast
33,ศรีสะเกษ,ตะวันออกเฉียงเหนือ,Northeast
34,อุบลราชธานี,ตะวันออกเฉียงเหนือ,Northeast
35,ยโสธร,ตะวันออกเฉียงเหนือ,Northeast
36,ชัยภูมิ,ตะวันออกเฉียงเหนือ,Northeast
37,อำนาจเจริญ,ตะวันออกเฉียงเหนือ,Northeast
38,บึงกาฬ,ตะวันออกเฉียงเหนือ,Northeast
39,หนองบัวลำภู,ตะวันออกเฉียงเหนือ,Northeast
40,ขอนแก่น,ตะวันออกเฉียงเหนือ,Northeast
41,อุดรธานี,ตะวันออกเฉียงเหนือ,Northeast
42,เลย,ตะวันออกเฉียงเหนือ,Northeast
43,หนองคาย,ตะวันออกเฉียงเหนือ,Northeast
44,มหาสารคาม,ตะวันออกเฉียงเหนือ,Northeast
45,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,Northeast
46,กาฬสินธุ์,ตะวันออกเฉียงเหนือ,Northeast
47,สกลนคร,ตะวันออกเฉียงเหนือ,Northeast
48,นครพนม,ตะวันออกเฉียงเหนือ,Northeast
49,มุกดาหาร,ตะวันออกเฉียงเหนือ,Northeast
50,เชียงใหม่,เหนือ,North
51,ลำพูน,เหนือ,North
52,ลำปาง,เหนือ,North
53,อุตรดิตถ์,เหนือ,North
54,แพร่,เหนือ,North
55,น่าน,เหนือ,North
56,พะเยา,เหนือ,North
57,เชียงราย,เหนือ,North
58,แม่ฮ่องสอน,เหนือ,North
60,นครสวรรค์,กลาง,Central
61,อุทัยธานี,กลาง,Central
62,กำแพงเพชร,เหนือ,North
63,ตาก,เหนือ,North
64,สุโขทัย,เหนือ,North
65,พิษณุโลก,เหนือ,North
66,พิจิตร,เหนือ,North
67,เพชรบูรณ์,เหนือ,North
70,ราชบุรี,กลาง,Central
71,กาญจนบุรี,กลาง,Central
72,สุพรรณบุรี,กลาง,Central
73,นครปฐม,กลาง,Central
74,สมุทรสาคร,กลาง,Central
75,สมุทรสงคราม,กลาง,Central
76,เพชรบุรี,ใต้,South
77,ประจวบคีรีขันธ์,ใต้,South
80,นครศรีธรรมราช,ใต้,South
81,กระบี่,ใต้,South
82,พังงา,ใต้,South
83,ภูเก็ต,ใต้,South
84,สุราษฎร์ธานี,ใต้,South
85,ระนอง,ใต้,South
86,ชุมพร,ใต้,South
90,สงขลา,ใต้,South
91,สตูล,ใต้,South
92,ตรัง,ใต้,South
93,พัทลุง,ใต้,South
94,ปัตตานี,ใต้,South
95,ยะลา,ใต้,South
96,นราธิวาส,ใต้,South
