province_code,forecast_year,forecast_month,rainfall_mm,n_runs,province,region_en,season,quarter
10,2024,1,0.846837279,1,กรุงเทพมหานคร,Central,Cool/Dry,Q1
11,2024,1,1.699999999,1,สมุทรปราการ,Central,Cool/Dry,Q1
12,2024,1,0.369849904,1,นนทบุรี,Central,Cool/Dry,Q1
13,2024,1,0.375347002,1,ปทุมธานี,Central,Cool/Dry,Q1
14,2024,1,0.113713614,1,พระนครศรีอยุธยา,Central,Cool/Dry,Q1
15,2024,1,0.0,1,อ่างทอง,Central,Cool/Dry,Q1
16,2024,1,0.0,1,ลพบุรี,Central,Cool/Dry,Q1
17,2024,1,0.0,1,สิงห์บุรี,Central,Cool/Dry,Q1
18,2024,1,0.0,1,ชัยนาท,Central,Cool/Dry,Q1
19,2024,1,0.0,1,สระบุรี,Central,Cool/Dry,Q1
20,2024,1,10.83248269,1,ชลบุรี,East,Cool/Dry,Q1
21,2024,1,16.31411342,1,ระยอง,East,Cool/Dry,Q1
22,2024,1,6.706267342,1,จันทบุรี,East,Cool/Dry,Q1
23,2024,1,7.263863726,1,ตราด,East,Cool/Dry,Q1
24,2024,1,1.183545094,1,ฉะเชิงเทรา,East,Cool/Dry,Q1
25,2024,1,0.125179805,1,ปราจีนบุรี,East,Cool/Dry,Q1
26,2024,1,0.127806919,1,นครนายก,East,Cool/Dry,Q1
27,2024,1,1.937449125,1,สระแก้ว,East,Cool/Dry,Q1
30,2024,1,0.068585231,1,นครราชสีมา,Northeast,Cool/Dry,Q1
31,2024,1,0.307964591,1,บุรีรัมย์,Northeast,Cool/Dry,Q1
32,2024,1,0.323298131,1,สุรินทร์,Northeast,Cool/Dry,Q1
33,2024,1,0.152385111,1,ศรีสะเกษ,Northeast,Cool/Dry,Q1
34,2024,1,0.02468762,1,อุบลราชธานี,Northeast,Cool/Dry,Q1
35,2024,1,0.01478588,1,ยโสธร,Northeast,Cool/Dry,Q1
36,2024,1,0.0,1,ชัยภูมิ,Northeast,Cool/Dry,Q1
37,2024,1,0.0,1,อำนาจเจริญ,Northeast,Cool/Dry,Q1
38,2024,1,0.0,1,บึงกาฬ,Northeast,Cool/Dry,Q1
39,2024,1,0.0,1,หนองบัวลำภู,Northeast,Cool/Dry,Q1
40,2024,1,0.0,1,ขอนแก่น,Northeast,Cool/Dry,Q1
41,2024,1,0.0,1,อุดรธานี,Northeast,Cool/Dry,Q1
42,2024,1,0.0,1,เลย,Northeast,Cool/Dry,Q1
43,2024,1,0.0,1,หนองคาย,Northeast,Cool/Dry,Q1
44,2024,1,0.041753866,1,มหาสารคาม,Northeast,Cool/Dry,Q1
45,2024,1,0.041152102,1,ร้อยเอ็ด,Northeast,Cool/Dry,Q1
46,2024,1,0.0,1,กาฬสินธุ์,Northeast,Cool/Dry,Q1
47,2024,1,0.0,1,สกลนคร,Northeast,Cool/Dry,Q1
48,2024,1,0.0,1,นครพนม,Northeast,Cool/Dry,Q1
49,2024,1,0.0,1,มุกดาหาร,Northeast,Cool/Dry,Q1
